Date,Odds_File,Home,Away,Market_Spread,Pred_Margin,Pick_Spread,Confidence_Level,Edge_Points,Has_Rebound_Advantage,Spread_Prob,Over_Under,Pick_Total
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,16.230894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,16.112302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,12.32246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,16.72188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,13.185735702514648,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulane,Memphis,1.5,-6.306120872497559,Home,High,7.806120872497559,False,0.8431879993108062,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-14.052934646606444,Home,Medium,6.552934646606445,False,0.98,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,15.276981353759766,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,16.07109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,14.910772323608398,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,11.030094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,21.27993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-15.355264663696287,Home,Medium,5.855264663696289,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,-16.896503448486328,Home,High,10.396503448486328,False,0.98,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,19.448311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,15.65479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-12.849061012268066,Home,High,10.349061012268066,False,0.98,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,15.94927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,14.051015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-19.52666473388672,Home,High,9.02666473388672,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,24.77993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,22.948311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,20.22188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,19.730894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,19.612302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,19.57109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,19.44927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,19.15479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,18.77698135375977,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,18.4107723236084,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,17.551015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,16.68573570251465,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,15.82246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,14.530094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,24.77993392944336,False,0.98,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-15.948311805725098,Home,High,22.948311805725098,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,High Point,Winthrop,-6.5,-23.22188377380371,Home,High,20.22188377380371,False,0.98,157.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,-20.730894088745117,Home,High,19.730894088745117,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Lehigh,Colgate,1.5,-14.612302780151367,Home,High,19.612302780151367,False,0.98,147.5,Under
2026-03-08,March_08_2026_Odds.csv,Tulsa,Temple,-11.5,-27.57109260559082,Home,High,19.57109260559082,False,0.98,153.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-20.44927215576172,Home,High,19.44927215576172,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-19.15479850769043,Home,High,19.15479850769043,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.776981353759766,Home,High,18.77698135375977,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-25.4107723236084,Home,High,18.4107723236084,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,-16.551015853881836,Home,High,17.551015853881836,False,0.98,142.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-29.68573570251465,Home,High,16.68573570251465,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-18.82246208190918,Home,High,15.82246208190918,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-11.5,-22.530094146728516,Home,High,14.530094146728516,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-18.77993392944336,Home,High,24.77993392944336,False,0.98,145.5,Under
